Name,Conference,Division,State,Links
Francis Marion University,Conference Carolinas,II,SC,"www.fmarion.edu
www.fmupatriots.com"
Franciscan University of Steubenville,Presidents' Athletic Conference,III,OH,"www.franciscan.edu
www.franciscanathletics.com"
Franklin & Marshall College,Centennial Conference,III,PA,"www.fandm.edu
www.godiplomats.com"
Franklin College,Heartland Collegiate Athletic Conference,III,IN,"www.franklincollege.edu
franklingrizzlies.com/landing/index"
Franklin Pierce University,Northeast-10 Conference,II,NH,"www.franklinpierce.edu
athletics.franklinpierce.edu"
Fresno Pacific University,Pacific West Conference,II,CA,"www.fresno.edu
fpuathletics.com/"
Frostburg State University,Mountain East Conference,III,MD,"www.frostburg.edu/
www.frostburgsports.com"
Furman University,Southern Conference,I-FCS,SC,"www.furman.edu
www.furmanpaladins.com"
Gallaudet University,United East Conference,III,DC,"www.gallaudet.edu
www.gallaudetathletics.com"
Gannon University,Pennsylvania State Athletic Conference,II,PA,"www.gannon.edu
www.gannonsports.com"
Gardner-Webb University,Big South Conference,I-FCS,NC,"gardner-webb.edu
gwusports.com/"
Geneva College,Presidents' Athletic Conference,III,PA,"www.geneva.edu
athletics.geneva.edu"
George Fox University,Northwest Conference,III,OR,"www.georgefox.edu
www.gfubruins.com"
George Mason University,Atlantic 10 Conference,I,VA,"www.gmu.edu
www.gomason.com"
George Washington University,Atlantic 10 Conference,I,DC,"www.gwu.edu
www.gwsports.com/index.html"
Georgetown University,Big East Conference,I-FCS,DC,"georgetown.edu
guhoyas.com"
Georgia College,Peach Belt Conference,II,GA,"www.gcsu.edu
www.gcbobcats.com"
Georgia Institute of Technology,Atlantic Coast Conference,I-FBS,GA,"www.gatech.edu
www.ramblinwreck.com"
Georgia Southern University,Sun Belt Conference,I-FBS,GA,"georgiasouthern.edu
gseagles.com"
Georgia Southwestern State University,Peach Belt Conference,II,GA,"www.gsw.edu
www.gswcanes.com"
Georgia State University,Sun Belt Conference,I-FBS,GA,"https://www.gsu.edu/
https://georgiastatesports.com/index.aspx"
Georgian Court University,Central Atlantic Collegiate Conference,II,NJ,"www.georgian.edu
www.gculions.com"
Gettysburg College,Centennial Conference,III,PA,"www.gettysburg.edu
www.gettysburgsports.com"
Glenville State College,Mountain East Conference,II,WV,"www.glenville.edu
www.gscpioneers.com"
Goldey-Beacom College,Central Atlantic Collegiate Conference,II,DE,"www.gbc.edu
www.gbcathletics.com"
Gonzaga University,West Coast Conference,I,WA,"www.gonzaga.edu
www.gozags.com"
Gordon College,Commonwealth Coast Conference,III,MA,"www.gordon.edu
athletics.gordon.edu/index.aspx"
Goucher College,Landmark Conference,III,MD,"www.goucher.edu
athletics.goucher.edu/landing/index"
Grambling State University,Southwestern Athletic Conf.,I-FCS,LA,"www.gram.edu
www.gsutigers.com"
Grand Canyon University,Western Athletic Conference,I,AZ,"www.gcu.edu/
www.gculopes.com"
Grand Valley State University,Great Lakes Intercollegiate Athletic Conference,II,MI,"www.gvsu.edu
gvsulakers.com"
Greensboro College,USA South Athletic Conference,III,NC,"www.greensboro.edu
www.greensborocollegesports.com"
Greenville University,St. Louis Intercollegiate Athletic Conference,III,IL,"www.greenville.edu
www.greenville.edu/athletics"
Grinnell College,Midwest Conference,III,IA,"www.grinnell.edu/
pioneers.grinnell.edu/"
Grove City College,Presidents' Athletic Conference,III,PA,"www.gcc.edu
athletics.gcc.edu"
Guilford College,Old Dominion Athletic Conf.,III,NC,"www.guilford.edu
www.guilford.edu/athletics"
Gustavus Adolphus College,Minnesota Intercollegiate Athletic Conference,III,MN,"www.gustavus.edu
www.gustavus.edu/athletics/"
Gwynedd Mercy University,Atlantic East Conference,III,PA,"www.gmercyu.edu
gwyneddathletics.com/"
Hamilton College,New England Small College Athletic Conference,III,NY,"www.hamilton.edu
www.hamilton.edu/athletics"
Hamline University,Minnesota Intercollegiate Athletic Conference,III,MN,"www.hamline.edu
www.hamlineathletics.com"
Hampden-Sydney College,Old Dominion Athletic Conf.,III,VA,"www.hsc.edu/
www.hscathletics.com"
Hampton University,Big South Conference,I-FCS,VA,"hamptonu.edu
hamptonpirates.com"
Hanover College,Heartland Collegiate Athletic Conference,III,IN,"www.hanover.edu
https://athletics.hanover.edu/landing/index"
Hardin-Simmons University,American Southwest Conference,III,TX,"www.hsutx.edu
hsuathletics.com"
Harding University,Great American Conference,II,AR,"www.harding.edu
www.hardingsports.com"
Hartwick College,Empire 8,III,NY,"www.hartwick.edu
www.hartwickhawks.com"
Harvard University,The Ivy League,I-FCS,MA,"https://www.harvard.edu/
https://gocrimson.com/"
Haverford College,Centennial Conference,III,PA,"www.haverford.edu
www.haverfordathletics.com"
Hawaii Pacific University,Pacific West Conference,II,HI,"www.hpu.edu
www.hpusharks.com/"
Heidelberg University,Ohio Athletic Conference,III,OH,"www.heidelberg.edu
bergathletics.com"
Henderson State University,Great American Conference,II,AR,"hsu.edu
hsusports.com"
Hendrix College,Southern Athletic Association,III,AR,"www.hendrix.edu
www.hendrixwarriors.com"
High Point University,Big South Conference,I,NC,"www.highpoint.edu
www.highpointpanthers.com"
Hilbert College,Allegheny Mountain Collegiate Conference,III,NY,"www.hilbert.edu
www.hilberthawks.com"
Hillsdale College,Great Midwest Athletic Conference,II,MI,"www.hillsdale.edu
www.hillsdalechargers.com"
Hiram College,North Coast Athletic Conference,III,OH,"www.hiram.edu
www.hiramterriers.com"
Hobart and William Smith Colleges,Liberty League,III,NY,"www.hws.edu
www.hwsathletics.com"
Hofstra University,Colonial Athletic Association,I,NY,"www.hofstra.edu
www.gohofstra.com"
Hollins University,Old Dominion Athletic Conf.,III,VA,"www.hollins.edu
www.hollinssports.com"
Holy Family University,Central Atlantic Collegiate Conference,II,PA,"www.holyfamily.edu
athletics.holyfamily.edu"
Holy Names University,Pacific West Conference,II,CA,"www.hnu.edu
www.hnuhawks.com"
Hood College,Middle Atlantic Conferences,III,MD,"www.hood.edu
www.hoodathletics.com"
Hope College,Michigan Intercol. Ath. Assn.,III,MI,"www.hope.edu
athletics.hope.edu"
Houghton College,Empire 8,III,NY,"www.houghton.edu
athletics.houghton.edu"
Houston Baptist University,Southland Conference,I-FCS,TX,"www.hbu.edu
www.hbuhuskies.com"
Howard Payne University,American Southwest Conference,III,TX,"www.hputx.edu
www.hpusports.com"
Howard University,Mid-Eastern Athletic Conf.,I-FCS,DC,"www.howard.edu
www.hubison.com"
Humboldt State University,California Collegiate Athletic Association,II,CA,"www.humboldt.edu
www.hsujacks.com"
Hunter College,City University of New York Athletic Conference,III,NY,"www.hunter.cuny.edu/
www.hunter.cuny.edu/athletics"
Huntingdon College,USA South Athletic Conference,III,AL,"www.huntingdon.edu
www.huntingdonhawks.com"
Husson University,North Atlantic Conference,III,ME,"www.husson.edu
www.hussoneagles.com"
Idaho State University,Big Sky Conference,I-FCS,ID,"www.isu.edu
www.isubengals.com"
Illinois College,Midwest Conference,III,IL,"www.ic.edu
www.illinoiscollegeathletics.com/"
Illinois Institute of Technology,Northern Athletics Collegiate Conference,III,IL,"www.iit.edu
www.illinoistechathletics.com"
Illinois State University,Missouri Valley Conference,I-FCS,IL,"IllinoisState.edu
GoRedbirds.com"
Illinois Wesleyan University,College Conference of Illinois & Wisconsin,III,IL,"www.iwu.edu/
www.iwusports.com"
Immaculata University,Atlantic East Conference,III,PA,"www.immaculata.edu
www.gomightymacs.com"
Indiana State University,Missouri Valley Conference,I-FCS,IN,"www.indstate.edu
www.gosycamores.com"
Indiana University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"iup.edu
iupathletics.com"
Indiana University-Purdue University Indianapolis,Horizon League,I,IN,"www.iupui.edu
www.iupuijags.com"
"Indiana University, Bloomington",Big Ten Conference,I-FBS,IN,"www.iub.edu
www.iuhoosiers.com"
Iona College,Metro Atlantic Athletic Conference,I,NY,"www.iona.edu
www.icgaels.com"
Iowa State University,Big 12 Conference,I-FBS,IA,"www.iastate.edu
www.cyclones.com"
Ithaca College,Liberty League,III,NY,"www.ithaca.edu/
athletics.ithaca.edu"
Jackson State University,Southwestern Athletic Conf.,I-FCS,MS,"www.jsums.edu/
www.gojsutigers.com"
Jacksonville State University,ASUN Conference,I-FCS,AL,"www.jsu.edu
www.jsugamecocksports.com"
Jacksonville University,ASUN Conference,I,FL,"www.ju.edu
www.judolphins.com"
James Madison University,Colonial Athletic Association,I-FCS,VA,"www.jmu.edu/
www.jmusports.com"
John Carroll University,Ohio Athletic Conference,III,OH,"www.jcu.edu
www.jcusports.com"
John Jay College of Criminal Justice,City University of New York Athletic Conference,III,NY,"www.jjay.cuny.edu/
www.johnjayathletics.com"
Johns Hopkins University,Centennial Conference,III,MD,"www.jhu.edu/
www.hopkinssports.com"
Johnson & Wales University (Providence),Great Northeast Athletic Conference,III,RI,"www.jwu.edu
www.providence.jwuathletics.com"
Johnson C. Smith University,Central Intercollegiate Athletic Association,II,NC,"www.jcsu.edu
www.goldenbullsports.com"
Juniata College,Landmark Conference,III,PA,"www.juniata.edu/
www.juniatasports.net"
Kalamazoo College,Michigan Intercol. Ath. Assn.,III,MI,"www.kzoo.edu/
hornets.kzoo.edu/landing/index/"
Kansas State University,Big 12 Conference,I-FBS,KS,"www.k-state.edu
www.kstatesports.com"
Kean University,New Jersey Athletic Conference,III,NJ,"www.kean.edu
www.keanathletics.com"
Keene State College,Little East Conference,III,NH,"www.keene.edu
www.keeneowls.com"
Kennesaw State University,ASUN Conference,I-FCS,GA,"www.kennesaw.edu/
www.ksuowls.com"
Kent State University,Mid-American Conference,I-FBS,OH,"www.kent.edu
www.kentstatesports.com"
Kentucky State University,Southern Intercol. Ath. Conf.,II,KY,"www.kysu.edu/
ksuthorobreds.com"
Kentucky Wesleyan College,Great Midwest Athletic Conference,II,KY,"https://kwc.edu/
https://kwcpanthers.com/"
Kenyon College,North Coast Athletic Conference,III,OH,"www.kenyon.edu
athletics.kenyon.edu"
Keuka College,Empire 8,III,NY,"www.keuka.edu/
www.keukaathletics.com/landing/index"
Keystone College,Colonial States Athletic Conference,III,PA,"www.keystone.edu
www.gokcgiants.com"
King University,Conference Carolinas,II,TN,"www.king.edu/
www.kingtornado.com/"
King's College (Pennsylvania),Middle Atlantic Conferences,III,PA,"www.kings.edu/
www.kings.edu/athletics"
Knox College,Midwest Conference,III,IL,"www.knox.edu
prairiefire.knox.edu"
Kutztown University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.kutztown.edu
www.kubears.com"
La Roche University,Allegheny Mountain Collegiate Conference,III,PA,"www.laroche.edu
larochesports.com"
La Salle University,Atlantic 10 Conference,I,PA,"www.lasalle.edu/
www.goexplorers.com/"
Lafayette College,Patriot League,I-FCS,PA,"www.lafayette.edu
www.goleopards.com"
LaGrange College,USA South Athletic Conference,III,GA,"www.lagrange.edu
www.lagrangepanthers.com"
Lake Erie College,Great Midwest Athletic Conference,II,OH,"www.lec.edu
www.lakeeriestorm.com"
Lake Forest College,Midwest Conference,III,IL,"www.lakeforest.edu
www.goforesters.com"
Lake Superior State University,Great Lakes Intercollegiate Athletic Conference,II,MI,"lssu.edu
lssulakers.com"
Lakeland University,Northern Athletics Collegiate Conference,III,WI,"www.lakeland.edu/
lakelandmuskies.com/"
Lamar University,Western Athletic Conference,I-FCS,TX,"www.lamar.edu
www.lamarcardinals.com"
Lancaster Bible College,United East Conference,III,PA,"www.lbc.edu
www.lbcchargers.com"
Lander University,Peach Belt Conference,II,SC,"www.lander.edu/
www.landerbearcats.com"
Lane College,Southern Intercol. Ath. Conf.,II,TN,"www.lanecollege.edu
www.golcdragons.com/"
Lasell University,Great Northeast Athletic Conference,III,MA,"www.lasell.edu
laserpride.lasell.edu"
Lawrence University,Midwest Conference,III,WI,"www.lawrence.edu/
vikings.lawrence.edu"
Le Moyne College,Northeast-10 Conference,II,NY,"www.lemoyne.edu/
www.lemoynedolphins.com"
Lebanon Valley College,Middle Atlantic Conferences,III,PA,"www.lvc.edu
www.godutchmen.com"
Lee University,Gulf South Conference,II,TN,"www.leeuniversity.edu/
www.leeuflames.com"
Lees-McRae College,Conference Carolinas,II,NC,"www.lmc.edu
lmcbobcats.com"
Lehigh University,Patriot League,I-FCS,PA,"www.lehigh.edu
www.lehighsports.com"
Lehman College,City University of New York Athletic Conference,III,NY,"www.lehman.edu
www.lehmanathletics.com"
LeMoyne-Owen College,Southern Intercol. Ath. Conf.,II,TN,"www.loc.edu
athletics.loc.edu/"
Lenoir-Rhyne University,South Atlantic Conference,II,NC,"www.LR.edu
www.lrbears.com"
Lesley University,New England Collegiate Conference,III,MA,"www.lesley.edu
lesleyathletics.com"
LeTourneau University,American Southwest Conference,III,TX,"www.letu.edu
www.letuathletics.com"
Lewis & Clark College,Northwest Conference,III,OR,"www.lclark.edu
www.lcpioneers.com"
Lewis University,Great Lakes Valley Conference,II,IL,"www.lewisu.edu
www.lewisflyers.com"
Liberty University,ASUN Conference,I-FBS,VA,"www.liberty.edu
www.LibertyFlames.com"
Limestone University,South Atlantic Conference,II,SC,"www.limestone.edu/
golimestonesaints.com/"
Lincoln Memorial University,South Atlantic Conference,II,TN,"www.lmunet.edu/
www.lmurailsplitters.com"
Lincoln University (Missouri),Mid-America Intercollegiate Athletics Association,II,MO,"www.lincolnu.edu/
www.lubluetigers.com"
Lincoln University (Pennsylvania),Central Intercollegiate Athletic Association,II,PA,"www.lincoln.edu
www.lulions.com"
Lindenwood University,Great Lakes Valley Conference,II,MO,"www.lindenwood.edu
lindenwoodlions.com"
Linfield University,Northwest Conference,III,OR,"www.linfield.edu
https://golinfieldwildcats.com/"
Lipscomb University,ASUN Conference,I,TN,"www.lipscomb.edu
www.lipscombsports.com"
Livingstone College,Central Intercollegiate Athletic Association,II,NC,"www.livingstone.edu/
https://bluebearathletics.com/"
Lock Haven University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.lockhaven.edu
www.golhu.com"
Long Beach State University,Big West Conference,I,CA,"www.csulb.edu
longbeachstate.com"
Long Island University,Northeast Conference,I-FCS,NY,"https://liu.edu/
www.liuathletics.com"
Longwood University,Big South Conference,I,VA,"www.longwood.edu/
longwoodlancers.com"
Loras College,American Rivers Conference,III,IA,"www.loras.edu
www.duhawks.com"
Louisiana State University,Southeastern Conference,I-FBS,LA,"www.lsu.edu
www.lsusports.net"
Louisiana Tech University,Conference USA,I-FBS,LA,"www.latech.edu/
www.latechsports.com/"
Loyola Marymount University,West Coast Conference,I,CA,"www.lmu.edu
www.LMULions.com"
Loyola University Chicago,Missouri Valley Conference,I,IL,"www.luc.edu
www.loyolaramblers.com"
Loyola University Maryland,Patriot League,I,MD,"www.loyola.edu
www.loyolagreyhounds.com"
Lubbock Christian University,Lone Star Conference,II,TX,"www.lcu.edu
www.lcuchaps.com"
Luther College,American Rivers Conference,III,IA,"www.luther.edu/
sports.luther.edu"
Lycoming College,Middle Atlantic Conferences,III,PA,"www.lycoming.edu
lycomingathletics.com"
Lynn University,Sunshine State Conference,II,FL,"www.lynn.edu
www.lynnfightingknights.com"
Macalester College,Minnesota Intercollegiate Athletic Conference,III,MN,"www.macalester.edu/
www.macalester.edu/athletics"
Maine Maritime Academy,North Atlantic Conference,III,ME,"www.mainemaritime.edu/
www.marinersports.org"
Malone University,Great Midwest Athletic Conference,II,OH,"www.malone.edu
www.malonepioneers.com"
Manchester University,Heartland Collegiate Athletic Conference,III,IN,"www.manchester.edu
www.muspartans.com"
Manhattan College,Metro Atlantic Athletic Conference,I,NY,"www.manhattan.edu
www.gojaspers.com"
Manhattanville College,Skyline Conference,III,NY,"www.mville.edu
www.govaliants.com"
Mansfield University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.mansfield.edu
www.gomounties.com"
Maranatha Baptist University,,III,WI,"www.mbu.edu/
mbusabercats.com"
Marian University (Wisconsin),Northern Athletics Collegiate Conference,III,WI,"www.marianuniversity.edu
www.sabreathletics.com"
Marietta College,Ohio Athletic Conference,III,OH,"www.marietta.edu/
pioneers.marietta.edu/"
Marist College,Metro Atlantic Athletic Conference,I-FCS,NY,"marist.edu
goredfoxes.com"
Marquette University,Big East Conference,I,WI,"www.marquette.edu
www.gomarquette.com"
Mars Hill University,South Atlantic Conference,II,NC,"www.mhu.edu
www.marshilllions.com"
Marshall University,Conference USA,I-FBS,WV,"www.marshall.edu
www.herdzone.com"
Martin Luther College,Upper Midwest Athletic Conference,III,MN,"www.mlc-wels.edu
www.mlcknights.com"
Mary Baldwin University,USA South Athletic Conference,III,VA,"www.marybaldwin.edu/
www.marybaldwinathletics.com"
Marymount University (Virginia),Atlantic East Conference,III,VA,"www.marymount.edu/
www.marymountsaints.com"
Maryville College (Tennessee),USA South Athletic Conference,III,TN,"www.maryvillecollege.edu
www.mcscots.com/landing/index"
Maryville University of Saint Louis,Great Lakes Valley Conference,II,MO,"www.maryville.edu
www.maryvillesaints.com"
Marywood University,Atlantic East Conference,III,PA,"www.marywood.edu
www.marywoodpacers.com"
Massachusetts College of Liberal Arts,Massachusetts State Collegiate Athletic Conference,III,MA,"www.mcla.edu/
athletics.mcla.edu/"
Massachusetts Institute of Technology,New England Women's and Men's Athletic Conference,III,MA,"web.mit.edu
www.mitathletics.com"
Massachusetts Maritime Academy,Massachusetts State Collegiate Athletic Conference,III,MA,"www.maritime.edu
www.mmabucs.com"
McDaniel College,Centennial Conference,III,MD,"www.mcdaniel.edu/
www.mcdaniel.edu/athletics"
McKendree University,Great Lakes Valley Conference,II,IL,"www.mckendree.edu
www.mckbearcats.com"
McMurry University,American Southwest Conference,III,TX,"www.mcm.edu
www.mcmurrysports.com"
McNeese State University,Southland Conference,I-FCS,LA,"www.mcneese.edu/
www.mcneesesports.com"
Medaille College,Allegheny Mountain Collegiate Conference,III,NY,"www.medaille.edu
www.medaillesports.com"
Medgar Evers College,City University of New York Athletic Conference,III,NY,"www.mec.cuny.edu
www.mecathletics.com"
Mercer University,Southern Conference,I-FCS,GA,"www2.mercer.edu/default.htm
www.mercerbears.com"
Mercy College,East Coast Conference,II,NY,"www.mercy.edu
www.mercyathletics.com"
Mercyhurst University,Pennsylvania State Athletic Conference,II,PA,"mercyhurst.edu
www.hurstathletics.com"
Meredith College,USA South Athletic Conference,III,NC,"www.meredith.edu
www.goavengingangels.com"
Merrimack College,Northeast Conference,II,MA,"www.merrimack.edu
www.merrimackathletics.com"
Messiah University,Middle Atlantic Conferences,III,PA,"www.messiah.edu
www.gomessiah.com"
Methodist University,USA South Athletic Conference,III,NC,"www.methodist.edu
www.mumonarchs.com"
Metropolitan State University of Denver,Rocky Mountain Athletic Conference,II,CO,"www.msudenver.edu
www.RoadrunnersAthletics.com"
Miami University (Ohio),Mid-American Conference,I-FBS,OH,"www.miamiOH.edu
www.miamiredhawks.com"
Michigan State University,Big Ten Conference,I-FBS,MI,"www.msu.edu
msuspartans.com/"
Michigan Technological University,Great Lakes Intercollegiate Athletic Conference,II,MI,"www.mtu.edu
www.michigantechhuskies.com"
Middle Tennessee State University,Conference USA,I-FBS,TN,"www.mtsu.edu/
www.goblueraiders.com"
Middlebury College,New England Small College Athletic Conference,III,VT,"www.middlebury.edu/
www.middlebury.edu/athletics"
Midwestern State University,Lone Star Conference,II,TX,"www.msutexas.edu/
msumustangs.com"
Miles College,Southern Intercol. Ath. Conf.,II,AL,"www.miles.edu
milesgoldenbears.com/"
Millersville University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.millersville.edu
www.millersvilleathletics.com"
Millikin University,College Conference of Illinois & Wisconsin,III,IL,"www.millikin.edu/
athletics.millikin.edu"
Mills College,Coast-To-Coast Athletic Conference,III,CA,"www.mills.edu
millscyclones.com"
Millsaps College,Southern Athletic Association,III,MS,"www.millsaps.edu
www.gomajors.com"
Milwaukee School of Engineering,Northern Athletics Collegiate Conference,III,WI,"www.msoe.edu/
go-raiders.com"
Minnesota State University Moorhead,Northern Sun Intercollegiate Conference,II,MN,"www.mnstate.edu/
msumdragons.com/"
"Minnesota State University, Mankato",Northern Sun Intercollegiate Conference,II,MN,"www.mnsu.edu/
www.msumavericks.com"
Minot State University,Northern Sun Intercollegiate Conference,II,ND,"www.minotstateu.edu
www.msubeavers.com"
Misericordia University,Middle Atlantic Conferences,III,PA,"www.misericordia.edu/
www.misericordia.edu/athletics"
Mississippi College,Gulf South Conference,II,MS,"www.mc.edu
www.gochoctaws.com"
Mississippi State University,Southeastern Conference,I-FBS,MS,"www.msstate.edu
www.hailstate.com"
Mississippi Valley State University,Southwestern Athletic Conf.,I-FCS,MS,"www.mvsu.edu
www.mvsusports.com"
Missouri Southern State University,Mid-America Intercollegiate Athletics Association,II,MO,"www.mssu.edu/
mssulions.com"
Missouri State University,Missouri Valley Conference,I-FCS,MO,"www.missouristate.edu
www.missouristatebears.com"
Missouri University of Science and Technology,Great Lakes Valley Conference,II,MO,"www.mst.edu
www.minerathletics.com"
Missouri Western State University,Mid-America Intercollegiate Athletics Association,II,MO,"www.missouriwestern.edu
www.gogriffons.com"
Mitchell College,New England Collegiate Conference,III,CT,"www.mitchell.edu
www.mitchellathletics.com"
Molloy College,East Coast Conference,II,NY,"www.molloy.edu/
www.molloylions.com"
Monmouth College (Illinois),Midwest Conference,III,IL,"www.monmouthcollege.edu
monmouthscots.com"
Monmouth University,Metro Atlantic Athletic Conference,I-FCS,NJ,"www.monmouth.edu/
www.monmouthhawks.com"
Montana State University Billings,Great Northwest Athletic Conference,II,MT,"www.msubillings.edu
www.msubsports.com"
Montana State University-Bozeman,Big Sky Conference,I-FCS,MT,"www.montana.edu/
www.msubobcats.com"
Montclair State University,New Jersey Athletic Conference,III,NJ,"www.montclair.edu/
www.montclairathletics.com"
Moravian University,Landmark Conference,III,PA,"www.moravian.edu
moraviansports.com/landing/index"
Morehead State University,Ohio Valley Conference,I-FCS,KY,"www.moreheadstate.edu
www.msueagles.com"
Morehouse College,Southern Intercol. Ath. Conf.,II,GA,"www.morehouse.edu
www.morehouseathletics.com"
Morgan State University,Mid-Eastern Athletic Conf.,I-FCS,MD,"www.morgan.edu
www.morganstatebears.com"
Mount Aloysius College,Allegheny Mountain Collegiate Conference,III,PA,"www.mtaloy.edu
www.mountieathletics.com"
Mount Holyoke College,New England Women's and Men's Athletic Conference,III,MA,"www.mtholyoke.edu/
www.mtholyoke.edu/athletics"
Mount Mary University,Coast-To-Coast Athletic Conference,III,WI,"www.mtmary.edu/
mtmaryathletics.com"
Mount Saint Mary College (New York),Skyline Conference,III,NY,"www.msmc.edu/
www.msmcknights.com/"
Mount St. Joseph University,Heartland Collegiate Athletic Conference,III,OH,"www.msj.edu/
www.msjsports.com/"
Mount St. Mary's University,Northeast Conference,I,MD,"www.msmary.edu
www.mountathletics.com"
Muhlenberg College,Centennial Conference,III,PA,"www.muhlenberg.edu
www.muhlenbergsports.com"
Murray State University,Ohio Valley Conference,I-FCS,KY,"www.murraystate.edu/
www.goracers.com"
Muskingum University,Ohio Athletic Conference,III,OH,"www.muskingum.edu
www.fightingmuskies.com/landing/index"
Nazareth College,Empire 8,III,NY,"www.naz.edu
www.nazathletics.com"
Nebraska Wesleyan University,American Rivers Conference,III,NE,"www.nebrwesleyan.edu/
www.nwusports.com/"
Neumann University,Atlantic East Conference,III,PA,"www.neumann.edu
www.neumannathletics.com"
New England College,New England Collegiate Conference,III,NH,"www.nec.edu/
athletics.nec.edu/"
New Jersey City University,New Jersey Athletic Conference,III,NJ,"www.njcu.edu
www.njcugothicknights.com"
New Jersey Institute of Technology,America East Conference,I,NJ,"www.njit.edu
www.njithighlanders.com"
New Mexico Highlands University,Rocky Mountain Athletic Conference,II,NM,"www.nmhu.edu
www.nmhuathletics.com"
New Mexico State University,Western Athletic Conference,I-FBS,NM,"www.nmsu.edu
www.nmstatesports.com"
New York University,University Athletic Association,III,NY,"www.nyu.edu
www.gonyuathletics.com"
Newberry College,South Atlantic Conference,II,SC,"www.newberry.edu/
www.newberrywolves.com"
Newman University,,II,KS,"www.newmanu.edu
www.newmanjets.com"
Niagara University,Metro Atlantic Athletic Conference,I,NY,"www.niagara.edu
www.purpleeagles.com"
Nicholls State University,Southland Conference,I-FCS,LA,"www.nicholls.edu
www.geauxcolonels.com"
Nichols College,Commonwealth Coast Conference,III,MA,"www.nichols.edu
www.nicholsathletics.com"
Norfolk State University,Mid-Eastern Athletic Conf.,I-FCS,VA,"www.nsu.edu
www.nsuspartans.com"
North Carolina A&T State University,Big South Conference,I-FCS,NC,"www.ncat.edu
www.ncataggies.com"
North Carolina Central University,Mid-Eastern Athletic Conf.,I-FCS,NC,"www.nccu.edu
www.nccueaglepride.com"
North Carolina State University,Atlantic Coast Conference,I-FBS,NC,"www.ncsu.edu
www.gopack.com"
North Carolina Wesleyan College,USA South Athletic Conference,III,NC,"www.ncwc.edu/
www.ncwcsports.com"
North Central College,College Conference of Illinois & Wisconsin,III,IL,"noctrl.edu/
northcentralcardinals.com"
North Central University,Upper Midwest Athletic Conference,III,MN,"www.northcentral.edu/
www.ncurams.com"
North Dakota State University,The Summit League,I-FCS,ND,"www.ndsu.edu/
www.GoBison.com"
North Greenville University,Conference Carolinas,II,SC,"www.ngu.edu/
www.nguathletics.com"
North Park University,College Conference of Illinois & Wisconsin,III,IL,"www.northpark.edu/
www.northpark.edu/athletics/"
Northeastern State University,Mid-America Intercollegiate Athletics Association,II,OK,"www.nsuok.edu
www.goriverhawksgo.com"
Northeastern University,Colonial Athletic Association,I,MA,"www.northeastern.edu
www.nuhuskies.com"
Northern Arizona University,Big Sky Conference,I-FCS,AZ,"www.nau.edu
www.nauathletics.com"
Northern Illinois University,Mid-American Conference,I-FBS,IL,"www.niu.edu
www.niuhuskies.com"
Northern Kentucky University,Horizon League,I,KY,"www.nku.edu
www.nkunorse.com"
Northern Michigan University,Great Lakes Intercollegiate Athletic Conference,II,MI,"www.nmu.edu
www.nmuwildcats.com"
Northern State University,Northern Sun Intercollegiate Conference,II,SD,"northern.edu
nsuwolves.com"
Northern Vermont University-Johnson,North Atlantic Conference,III,VT,"https://www.northernvermont.edu/
nvubadgers.com/landing/index"
Northern Vermont University-Lyndon,North Atlantic Conference,III,VT,"www.northernvermont.edu
www.lyndonhornets.com"
Northland College,Upper Midwest Athletic Conference,III,WI,"www.northland.edu/
www.northlandcollegesports.com"
Northwest Missouri State University,Mid-America Intercollegiate Athletics Association,II,MO,"nwmissouri.edu
bearcatsports.com"
Northwest Nazarene University,Great Northwest Athletic Conference,II,ID,"www.nnu.edu
nnusports.com"
Northwestern Oklahoma State University,Great American Conference,II,OK,"www.nwosu.edu
www.riderangersride.com"
Northwestern State University,Southland Conference,I-FCS,LA,"www.nsula.edu
www.nsudemons.com"
Northwestern University,Big Ten Conference,I-FBS,IL,"www.northwestern.edu
www.nusports.com"
Northwood University,Great Lakes Intercollegiate Athletic Conference,II,MI,"www.northwood.edu
gonorthwood.com"
Norwich University,Great Northeast Athletic Conference,III,VT,"www.norwich.edu
www.norwichathletics.com"
Notre Dame College (Ohio),Mountain East Conference,II,OH,"www.notredamecollege.edu/
https://notredamefalcons.com/index.aspx"
Notre Dame of Maryland University,Colonial States Athletic Conference,III,MD,"www.ndm.edu
www.notredamegators.com"
Nova Southeastern University,Sunshine State Conference,II,FL,"www.nova.edu
nsusharks.com"
Nyack College,Central Atlantic Collegiate Conference,II,NY,"www.nyack.edu
www.nyack.edu/athletics"
Oakland University,Horizon League,I,MI,"www.oakland.edu
https://goldengrizzlies.com/"
Oberlin College,North Coast Athletic Conference,III,OH,"www.oberlin.edu/
www.goyeo.com"
Occidental College,Southern California Intercollegiate Athletic Conf.,III,CA,"www.oxy.edu
www.oxyathletics.com"
Oglethorpe University,Southern Athletic Association,III,GA,"www.oglethorpe.edu
www.gopetrels.com"
